company,sector,country,ticker,exchange,hormuz_exposure_rationale,oil_dependency_score,hormuz_exposure_score,sector_sensitivity_score,france_economy,france_impact,company_risk_score,risk_level
ArcelorMittal France,Acier & Industrie Lourde,Luxembourg/France,MT,NYSE/Euronext,Consommation gaz et énergie très élevée. Sensibilité coûts énergétiques.,0.5,0.4,0.55,1,"Sites de Dunkerque, Fos-sur-Mer. Hausse gaz = surcoûts production acier FR. Risque fermeture temporaire comme 2021-22.",0.48,Modéré
Danone,Agroalimentaire,France,BN,Euronext Paris,Emballages plastiques + logistique. Sensibilité indirecte.,0.3,0.15,0.45,1,Hausse plastiques/emballages = pression marges Danone. Transmission partielle sur prix produits laitiers/nutrition FR.,0.285,Faible
Yara International,Agroalimentaire — Engrais,Norvège,YAR,Oslo Bors,Engrais azotés = gaz naturel. Hausse gaz → hausse coûts.,0.55,0.4,0.6,0,"Hausse prix engrais = coût supplémentaire agriculture française. Impact filière céréales, maïs, betterave.",0.515,Modéré
InVivo / Soufflet,Agroalimentaire — Négoce céréales,France,Non coté,—,Carburant agricole + coûts logistiques + prix engrais.,0.45,0.2,0.55,1,"Triple impact : hausse carburant agricole, hausse engrais (gaz), hausse fret export. Risque compétitivité céréales françaises sur marchés mondiaux.",0.395,Modéré
Toyota,Automobile,Japon,TM,TSE/NYSE,Japon dépend ~90% brut Golfe. Supply chain très exposée.,0.7,0.3,0.7,0,,0.58,Élevé
Stellantis,Automobile,Pays-Bas/France,STLA,NYSE/Euronext,"Plastics/résines pétrosourcées. Coûts production impactés. Sites français : Sochaux, Poissy, Rennes.",0.5,0.3,0.55,1,Hausse résines plastiques/caoutchouc synthétique = surcoûts production FR. Risque compétitivité Peugeot/Citroën/Opel.,0.45,Modéré
Renault Group,Automobile,France,RNO,Euronext Paris,Consommation matières pétrosourcées. Hausse coûts logistiques.,0.5,0.25,0.55,1,"Surcoûts matières + logistique = pression marges usines FR (Flins, Douai, Maubeuge). Impact emploi industriel France.",0.435,Modéré
Volkswagen Group,Automobile,Allemagne,VOW3,XETRA,Inputs pétrosourcés + carburant. Moins exposé géo Ormuz.,0.45,0.25,0.5,0,Impact indirect via compétition avec marques FR.,0.4,Modéré
Michelin,Automobile — Équipementier,France,ML,Euronext Paris,Caoutchouc synthétique = 40% butadiène (dérivé pétrole). Très sensible à la hausse des naphtas.,0.7,0.55,0.75,1,Hausse matières premières = pression marges Michelin. Risque hausse prix pneumatiques pour flotte de transport FR. Impact indirect sur coût logistique national.,0.665,Élevé
Valeo,Automobile — Équipementier,France,FR,Euronext Paris,"Composants auto. Plastiques, résines, câblages pétrosourcés.",0.55,0.35,0.6,1,Hausse inputs pétrosourcés = pression marges équipementier FR. Transmission aux constructeurs via prix pièces.,0.5,Modéré
Emirates,Aviation,Émirats Arabes Unis,Non coté,—,Hub Dubai dans la zone de crise. Perturbation des correspondances.,0.95,0.6,0.95,0,Perturbation connexions Europe-Asie via Dubai = surcharge pour voyageurs FR.,0.845,Critique
Air France-KLM,Aviation,France,AF,Euronext Paris,Carburant = 20-25% des coûts. Hausse Brent +10% → impact marge direct. Passager emblématique du CAC40.,0.7,0.2,0.85,1,"Surcharges carburant, hausse prix billets. Impact direct compétitivité et tourisme FR. Risque de perturbation des routes moyen-orientales (Dubai, Doha).",0.58,Élevé
Lufthansa Group,Aviation,Allemagne,LHA,XETRA,Très sensible prix kérosène. Concurrent direct AF sur routes FR.,0.7,0.2,0.85,0,Impact indirect concurrence sur routes internationales depuis France.,0.58,Élevé
Ryanair,Aviation,Irlande,RYA,Euronext/Nasdaq,Peu exposée géo. Très sensible carburant (30% des coûts).,0.5,0.05,0.8,0,Hausse billets low-cost = impact pouvoir d'achat voyageurs FR.,0.425,Modéré
easyJet,Aviation,Royaume-Uni,EZJ,LSE,Sensibilité carburant élevée. Opère depuis aéroports français.,0.5,0.05,0.78,1,"Opère CDG, Nice, Lyon, Toulouse. Surcharges carburant sur routes FR internes/EU.",0.421,Modéré
Airbus,Aéronautique & Défense,France/Allemagne,AIR,Euronext Paris,"Aluminium, titane, matériaux composites. Chaîne d'approvisionnement mondiale. Clients compagnies aériennes du Golfe (Emirates, Qatar Airways).",0.35,0.3,0.45,1,"Perturbation Ormuz = réduction commandes compagnies Golfe (clients majeurs Airbus). Risque de retard livraisons et tension sur carnet de commandes. Impact emploi aéronautique FR (Toulouse, Bordeaux).",0.355,Modéré
Safran,Aéronautique & Défense,France,SAF,Euronext Paris,Moteurs et équipements aéronautiques. Dépendance matériaux stratégiques.,0.3,0.25,0.4,1,"Baisse trafic aérien Moyen-Orient = impact carnet commandes moteurs CFM. Risque induit sur emploi FR (Ile-de-France, Occitanie).",0.305,Faible
Thales,Aéronautique & Défense,France,HO,Euronext Paris,"Défense, sécurité maritime. Demande de systèmes de surveillance Ormuz potentielle.",0.15,0.2,0.25,1,Hausse tensions = opportunité pour contrats défense/sécurité maritime. Risque géopolitique sur contrats avec pays du Golfe.,0.185,Faible
LafargeHolcim France,BTP & Matériaux,France/Suisse,HOLN,SIX Swiss Exchange,Ciment = énergie intensive (gaz + fuel lourd). Très sensible coûts énergie.,0.5,0.35,0.65,1,Hausse énergie = surcoûts ciment. Transmission sur prix construction neuve et infra FR. Impact projets BTP et rénovation.,0.485,Modéré
Saint-Gobain,BTP & Matériaux,France,SGO,Euronext Paris,"Énergie = 15-20% des coûts de production (verre, plâtre, isolation). Gaz = intrant principal de fabrication.",0.4,0.3,0.6,1,Hausse gaz = surcoûts industriels Saint-Gobain. Répercussion sur coûts de construction en France. Impact BTP.,0.41,Modéré
AXA,Finance — Assurance,France,CS,Euronext Paris,"Assurance maritime, assurance transport, couverture risques industriels.",0.25,0.3,0.35,1,Hausse sinistralité maritime (zone guerre Ormuz). Pression primes assurance transport → transmission sur coûts entreprises FR. Risque de dépréciation portefeuilles obligataires pays Golfe.,0.285,Faible
BNP Paribas,Finance — Banque,France,BNP,Euronext Paris,"Financement trade (lettres de crédit pétrole), exposition trading énergie, portefeuilles entreprises exposées.",0.3,0.25,0.45,1,"Hausse risque crédit clients exposés (pétroliers, transporteurs). Provisions potentielles. Impact activité trade finance pétrole. Risque de marché sur portefeuilles obligataires pays Golfe.",0.315,Faible
Société Générale,Finance — Banque,France,GLE,Euronext Paris,Financement matières premières. Desk commodity trading.,0.25,0.2,0.4,1,Exposition trading commodities. Volatilité accrue = opportunité et risque. Provisions secteurs exposés.,0.265,Faible
Carrefour,Grande Distribution,France,CA,Euronext Paris,Carburant logistique + plastiques emballage + matières pétrosourcées.,0.35,0.15,0.55,1,Surcoûts logistiques et emballages répercutés sur prix rayons. Impact direct sur inflation alimentaire en France. Risque de ruptures d'approvisionnement produits importés.,0.33,Faible
SABIC,Pétrochimie & Chimie,Arabie Saoudite,SABIC,Tadawul,Filiale Aramco. 100% exposée Ormuz.,1.0,1.0,0.95,0,,0.99,Critique
Arkema,Pétrochimie & Chimie,France,AKE,Euronext Paris,"Spécialités chimiques. Matières premières pétrosourcées (éthylène, propylène). Issu de TotalEnergies.",0.65,0.55,0.7,1,"Hausse feedstock = pression marges Arkema. Répercussion sur clients industriels FR (cosmétique, emballage, construction).",0.63,Élevé
BASF,Pétrochimie & Chimie,Allemagne,BAS,XETRA,Feedstock naphta/gazole dérivé brut. Coûts énergétiques très sensibles.,0.65,0.5,0.7,0,Fournisseur de l'industrie automobile et chimique française.,0.615,Élevé
Solvay,Pétrochimie & Chimie,Belgique,SOLB,Euronext Bruxelles,"Chimie spécialisée, matériaux avancés. Dépendance pétrochimique.",0.6,0.45,0.65,0,,0.565,Élevé
Air Liquide,Pétrochimie & Chimie,France,AI,Euronext Paris,Gaz industriels. Énergie = 40% des coûts opérationnels. Sensible hausse prix gaz/électricité liée au choc pétrolier.,0.4,0.3,0.65,1,"Hausse coûts de production répercutée sur industries FR (sidérurgie, chimie, alimentation). Impact compétitivité industrielle française.",0.42,Modéré
Saudi Aramco,Pétrole & Gaz — Major intégrée,Arabie Saoudite,2222,Tadawul,100% des exportations passent par Ormuz. Exposition maximale.,1.0,1.0,1.0,0,Perturbation des exportations saoudiennes = hausse immédiate des prix mondiaux.,1.0,Critique
QatarEnergy,Pétrole & Gaz — Major intégrée,Qatar,Non coté,—,LNG Qatar 100% via Ormuz. TotalEnergies = partenaire stratégique.,1.0,1.0,1.0,1,Perturbation LNG Qatar = impact direct sur approvisionnement Engie + TotalEnergies FR.,1.0,Critique
Adnoc,Pétrole & Gaz — Major intégrée,Émirats Arabes Unis,Partiel,—,Exportations UAE via Ormuz (pipeline ADCO alternatif limité).,0.9,0.9,0.95,0,,0.91,Critique
TotalEnergies,Pétrole & Gaz — Major intégrée,France,TTE,Euronext Paris,"Production au Qatar, Iraq, UAE. ~35% du brut TotalEnergies transite par Ormuz. Leader du CAC40 en exposition directe.",0.9,0.85,0.95,1,Pression sur marges amont + hausse prix carburant en France. 1er contributeur CAC40 aux bénéfices énergétiques.,0.895,Critique
BP,Pétrole & Gaz — Major intégrée,Royaume-Uni,BP,LSE,"Partenariats Gulf (Iraq, UAE). ~15% production transit Ormuz.",0.85,0.8,0.9,0,Impact indirect via prix brut mondial.,0.845,Critique
Shell,Pétrole & Gaz — Major intégrée,Pays-Bas,SHEL,LSE/Euronext,Contrats LNG Qatar (QatarEnergy). Fort transit Ormuz.,0.85,0.8,0.9,0,Impact indirect via prix LNG et brut.,0.845,Critique
ExxonMobil,Pétrole & Gaz — Major intégrée,États-Unis,XOM,NYSE,Opérations Iraq (West Qurna). Exposition modérée.,0.75,0.7,0.8,0,Aucun impact direct sur économie FR.,0.745,Élevé
Eni,Pétrole & Gaz — Major intégrée,Italie,ENI,Borsa Italiana,"Présence Iraq, UAE. Exposition modérée.",0.7,0.65,0.8,0,,0.705,Élevé
Equinor,Pétrole & Gaz — Major intégrée,Norvège,EQNR,Oslo Bors,Production mer du Nord. Peu exposée Ormuz.,0.3,0.2,0.4,0,,0.29,Faible
Repsol,Pétrole & Gaz — Raffinage,Espagne,REP,BME,Imports brut Moyen-Orient pour raffinage. Voisin économique FR.,0.65,0.6,0.7,0,,0.645,Élevé
Valero Energy,Pétrole & Gaz — Raffinage,États-Unis,VLO,NYSE,Importe brut moyen-oriental. Marges impactées.,0.55,0.5,0.6,0,,0.545,Modéré
TotalEnergies Raffinage,Pétrole & Gaz — Raffinage France,France,TTE,Euronext Paris,"Raffineries françaises (Normandie, Donges, Feyzin, Provence). Approvisionnement brut Moyen-Orient ~30% du mix.",0.75,0.65,0.85,1,"Pénurie ou renchérissement brut ME → tension sur prix carburants français (SP95, gasoil). Impact direct inflation énergétique des ménages et entreprises FR.",0.74,Élevé
CMA CGM,Transport Maritime — Conteneurs,France,Non coté,—,Routes Asie-Europe passant par Golfe. Détournements coûteux si fermeture Ormuz.,0.4,0.35,0.5,1,"3e armateur mondial, basé à Marseille. Surcoûts fret répercutés sur importateurs FR. Impacts prix biens de consommation en France.",0.405,Modéré
Maersk,Transport Maritime — Conteneurs,Danemark,MAERSK-B,Nasdaq Copenhague,Leader conteneurs mondial. Impact surcoûts fret et détournements.,0.4,0.35,0.5,0,Hausse fret maritime = inflation importations FR.,0.405,Modéré
Hapag-Lloyd,Transport Maritime — Conteneurs,Allemagne,HLAG,XETRA,Routes Asie-Europe. Perturbation logistique.,0.4,0.35,0.5,0,,0.405,Modéré
CMA CGM,Transport Maritime — Conteneurs,France,Non coté,—,Routes Asie-Europe passant par Golfe. Détournements coûteux.,0.4,0.35,0.5,1,"3e armateur mondial. Surcoûts fret = hausse prix importations FR (électronique, textile, matières premières).",0.405,Modéré
Frontline,Transport Maritime — Tankers,Norvège,FRO,NYSE/Oslo,Flotte VLCC routes Golfe Persique. Impact direct fermeture Ormuz.,0.95,0.95,0.9,0,Hausse des taux de fret tankers = renchérissement import brut FR.,0.94,Critique
Euronav,Transport Maritime — Tankers,Belgique,EURN,NYSE/Euronext,VLCC routes Golfe. Impact fermeture Ormuz majeur.,0.95,0.95,0.9,0,Même impact indirect sur coût d'import brut France.,0.94,Critique
Teekay Corporation,Transport Maritime — Tankers,Bermudes,TK,NYSE,Tankers Moyen-Orient. Impact fermeture majeur.,0.9,0.9,0.85,0,,0.89,Critique
DHT Holdings,Transport Maritime — Tankers,Bermudes,DHT,NYSE/Oslo,VLCC routes Golfe Persique.,0.9,0.9,0.85,0,,0.89,Critique
La Poste / DPD France,Transport — Colis & Livraison,France,Non coté,—,Flotte motorisée. Carburant = 15-20% des coûts d'exploitation.,0.5,0.15,0.65,1,"Hausse carburant = surcoût livraison, impact e-commerce et services postaux FR.",0.425,Modéré
SNCF Voyageurs,Transport — Ferroviaire,France,Non coté,—,Carburant (diesel) = coût majeur. Électricité sensible hausse gaz.,0.45,0.2,0.6,1,Hausse prix diesel/électricité = pression sur tarification SNCF. Risque de répercussion sur prix billets ou déficit opérateur public.,0.405,Modéré
XPO Logistics France,Transport — Routier & Logistique,France/USA,XPO,NYSE,Carburant diesel = 25-30% des coûts d'exploitation transport routier.,0.6,0.2,0.75,1,Hausse gasoil = surcoûts logistique pour distributeurs et industriels FR. Transmission via surcharges carburant sur toute la chaîne.,0.51,Modéré
Geodis (filiale SNCF),Transport — Routier & Logistique,France,Non coté,—,Opérateur logistique majeur France. Diesel = coût variable principal.,0.6,0.2,0.75,1,"Hausse gasoil = surcoûts supply chain France. Clients : grandes surfaces, industrie, e-commerce.",0.51,Modéré
TotalEnergies Marketing France,Utilities — Distribution carburant,France,TTE,Euronext Paris,Réseau de stations-service. Prix carburant à la pompe directement lié au Brent.,0.85,0.75,0.9,1,"Hausse Brent +10% = hausse prix pompe ~+0.08 €/L en France. Impact pouvoir d'achat ménages, coûts agriculteurs, transporteurs FR.",0.83,Critique
Engie,Utilities — Énergie,France,ENGI,Euronext Paris,Import GNL dont ~25% Qatar (QatarEnergy). Exposition Ormuz via prix gaz. Distributeur gaz résidentiel et industriel en France.,0.55,0.5,0.6,1,Perturbation GNL Qatar = hausse prix gaz en France. Impact direct sur factures ménages et industriels FR. TotalEnergies = concurrent/partenaire sur LNG.,0.545,Modéré
EDF,Utilities — Énergie,France,EDF,Euronext Paris,Nucléaire dominant. Pétrole/gaz dans le mix thermique résiduel + filiales.,0.25,0.2,0.3,1,Impact limité sur nucléaire. Mais hausse gaz = pression sur prix de l'électricité en période de pointe (mécanisme de prix marginal). Impact indirect consommateurs FR.,0.245,Faible
